model,feature,importance
RandomForest,CH1_mean,0.01407300334377188
RandomForest,CH1_std,0.00019868789223593289
RandomForest,CH1_rms,0.00036274511686951687
RandomForest,CH1_max,5.6346266208593925e-05
RandomForest,CH1_min,0.00043041027598437744
RandomForest,CH1_peak2peak,0.0006697719259544555
RandomForest,CH1_abs_mean,0.00018095415949099746
RandomForest,CH1_energy,0.00016409529901121868
RandomForest,CH1_skewness,0.0002511668999402534
RandomForest,CH1_kurtosis,0.002118122460019029
RandomForest,CH1_crest_factor,3.249963103870006e-05
RandomForest,CH1_impulse_factor,3.944615084268635e-05
RandomForest,CH1_shape_factor,0.0024171625816134883
RandomForest,CH1_clearance_factor,3.399687095557449e-05
RandomForest,CH1_spectral_energy,0.0005732343061354654
RandomForest,CH1_spectral_centroid,0.00039948430557950297
RandomForest,CH1_spectral_bandwidth,0.000989078805893725
RandomForest,CH1_spectral_rolloff,0.000930975651993942
RandomForest,CH1_dominant_freq,3.9174973063070286e-05
RandomForest,CH1_dominant_mag,3.8479230403204106e-05
RandomForest,CH2_mean,0.006314969198907644
RandomForest,CH2_std,2.1369659310103432e-05
RandomForest,CH2_rms,9.170511720986561e-05
RandomForest,CH2_max,0.0001290557370664394
RandomForest,CH2_min,9.145860797064837e-05
RandomForest,CH2_peak2peak,4.5942498264375365e-05
RandomForest,CH2_abs_mean,7.5559295408116e-05
RandomForest,CH2_energy,1.736378310813509e-05
RandomForest,CH2_skewness,0.0002346682920488467
RandomForest,CH2_kurtosis,0.0001699315837675126
RandomForest,CH2_crest_factor,6.099229460923494e-05
RandomForest,CH2_impulse_factor,4.7884260602403e-05
RandomForest,CH2_shape_factor,0.00033190856583652776
RandomForest,CH2_clearance_factor,5.9796145788095275e-05
RandomForest,CH2_spectral_energy,4.306133544057323e-05
RandomForest,CH2_spectral_centroid,0.00017746738123063747
RandomForest,CH2_spectral_bandwidth,0.001240993482011687
RandomForest,CH2_spectral_rolloff,0.0018642312544686563
RandomForest,CH2_dominant_freq,0.00015518855806066875
RandomForest,CH2_dominant_mag,0.00014648882853058272
RandomForest,CH3_mean,0.008935082980632274
RandomForest,CH3_std,6.472526924119745e-05
RandomForest,CH3_rms,4.1353744923801214e-05
RandomForest,CH3_max,7.180853101387049e-05
RandomForest,CH3_min,7.937195479270585e-05
RandomForest,CH3_peak2peak,0.0002731037109557607
RandomForest,CH3_abs_mean,0.00017118897866923334
RandomForest,CH3_energy,7.209916853601064e-05
RandomForest,CH3_skewness,0.00027266822535898505
RandomForest,CH3_kurtosis,0.0009579921666367267
RandomForest,CH3_crest_factor,0.00028911434150641666
RandomForest,CH3_impulse_factor,0.00030129616578301676
RandomForest,CH3_shape_factor,0.0013533614798446573
RandomForest,CH3_clearance_factor,0.0012425397394499223
RandomForest,CH3_spectral_energy,0.0001025048707341776
RandomForest,CH3_spectral_centroid,9.767473759884664e-05
RandomForest,CH3_spectral_bandwidth,0.0004524127939609998
RandomForest,CH3_spectral_rolloff,0.00011166788117939723
RandomForest,CH3_dominant_freq,8.851185837725932e-05
RandomForest,CH3_dominant_mag,9.268987021715121e-05
RandomForest,CH4_mean,0.0006291453216515322
RandomForest,CH4_std,1.6089994168436974e-05
RandomForest,CH4_rms,2.8240351693875744e-05
RandomForest,CH4_max,3.9672874708762963e-05
RandomForest,CH4_min,5.3106718505798596e-05
RandomForest,CH4_peak2peak,3.8066029165731304e-05
RandomForest,CH4_abs_mean,0.0001015689073113566
RandomForest,CH4_energy,2.1908747193660136e-05
RandomForest,CH4_skewness,0.0004391390956452325
RandomForest,CH4_kurtosis,0.000232998591707547
RandomForest,CH4_crest_factor,8.851829831552782e-05
RandomForest,CH4_impulse_factor,9.541160994915126e-05
RandomForest,CH4_shape_factor,0.00019303427800337287
RandomForest,CH4_clearance_factor,0.00027295540127317177
RandomForest,CH4_spectral_energy,2.7956199543756957e-05
RandomForest,CH4_spectral_centroid,0.00019493338166487735
RandomForest,CH4_spectral_bandwidth,0.00011521836538612326
RandomForest,CH4_spectral_rolloff,0.000231459369772406
RandomForest,CH4_dominant_freq,0.0002576210069651794
RandomForest,CH4_dominant_mag,3.758098740418467e-05
RandomForest,CH1_BPFI_1x,8.605084475559622e-05
RandomForest,CH1_BPFI_2x,0.00013776356585101392
RandomForest,CH1_BPFI_3x,0.002074151557257451
RandomForest,CH1_BPFO_1x,0.000684203314089743
RandomForest,CH1_BPFO_2x,0.00013555783053769674
RandomForest,CH1_BPFO_3x,0.00016885384168139836
RandomForest,CH1_BSF_1x,0.00019659998239050767
RandomForest,CH1_BSF_2x,0.0001452161944503077
RandomForest,CH1_BSF_3x,0.0007291618298341377
RandomForest,CH1_Cage_1x,0.0011714191211154097
RandomForest,CH1_Cage_2x,0.00032951849003516864
RandomForest,CH1_Cage_3x,0.00030540259625630537
RandomForest,CH2_BPFI_1x,5.284113510198866e-05
RandomForest,CH2_BPFI_2x,0.00010529917257808798
RandomForest,CH2_BPFI_3x,0.00013997615250369583
RandomForest,CH2_BPFO_1x,0.00015124130397483135
RandomForest,CH2_BPFO_2x,4.401069351064407e-05
RandomForest,CH2_BPFO_3x,0.0006411716625997028
RandomForest,CH2_BSF_1x,6.541758419888991e-05
RandomForest,CH2_BSF_2x,0.0003405944346316294
RandomForest,CH2_BSF_3x,8.509298945308719e-05
